Resource,Zone,New_Build,Can_Retire,Existing_Cap_MW,region,technology,cluster,Cap_Size,minimum_load_mw,Heat_Rate_MMBTU_per_MWh,Fixed_OM_Cost_per_MWyr,Var_OM_Cost_per_MWh,Min_Power,num_units,heat_rate_mmbtu_mwh_iqr,heat_rate_mmbtu_mwh_std,fixed_o_m_mw_std,capacity_factor,unmodified_cap_size,Start_Fuel_MMBTU_per_MW,Fuel,Start_Cost_per_MW,cost_case,tech_detail,basis_year,capex_mw,Inv_Cost_per_MWyr,Max_Cap_MW,regional_cost_multiplier,spur_miles,spur_capex,spur_inv_mwyr,plant_inv_cost_mwyr,Ramp_Up_Percentage,Ramp_Dn_Percentage,Up_Time,Down_Time,Reg_Max,Rsv_Max,gen_energy_source,gen_is_baseload,gen_scheduled_outage_rate,gen_forced_outage_rate,gen_type,Model
NY1_nuclear_nuclear__large_conservative_0,11,1,1,0.0,NY1,Nuclear_Nuclear - Large_Conservative,0,1000.0,0.0,10.5,218662,3.64,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,middle_atlantic_uranium,419.0,Conservative,Nuclear - Large,2040.5,6984617.055,475023,-1.0,1.057,50.0,128050.0,6094.348,468929.0,0.25,0.25,24,24,0.041666667,0.083333333,Uranium,True,0.06,0.04,Nuclear,1
NY2_naturalgas_1on1_combined_cycle_hframe_moderate_0,12,1,1,0.0,NY2,NaturalGas_1-on-1 Combined Cycle (H-Frame)_Moderate,0,500.0,0.0,6.02,37193,2.43,0.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,middle_atlantic_naturalgas,0.0,Moderate,1-on-1 Combined Cycle (H-Frame),2040.5,1533311.52,248555,-1.0,1.624,20.0,59960.0,2853.706,245702.0,0.64,0.64,6,6,0.0,0.0,Naturalgas,False,0.06,0.04,Naturalgas,1
NY2_naturalgas_combustion_turbine_fframe_moderate_0,12,1,1,0.0,NY2,NaturalGas_Combustion Turbine (F-Frame)_Moderate,0,100.0,0.0,9.72,25124,7.44,0.3,0.0,0.0,0.0,0.0,0.0,0.0,3.5,middle_atlantic_naturalgas,0.0,Moderate,Combustion Turbine (F-Frame),2040.5,1132096.797,165566,-1.0,1.456,20.0,59960.0,2853.706,162713.0,3.78,3.78,1,1,0.0,0.0,Naturalgas,False,0.06,0.04,Naturalgas,1
NY2_nuclear_nuclear__large_conservative_0,12,1,1,0.0,NY2,Nuclear_Nuclear - Large_Conservative,0,1000.0,0.0,10.5,218662,3.64,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,middle_atlantic_uranium,419.0,Conservative,Nuclear - Large,2040.5,6984617.055,615785,-1.0,1.372,50.0,149900.0,7134.266,608651.0,0.25,0.25,24,24,0.041666667,0.083333333,Uranium,True,0.06,0.04,Nuclear,1
OH1_naturalgas_1on1_combined_cycle_hframe_moderate_0,13,1,1,0.0,OH1,NaturalGas_1-on-1 Combined Cycle (H-Frame)_Moderate,0,500.0,0.0,6.02,37193,2.43,0.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,east_north_central_naturalgas,0.0,Moderate,1-on-1 Combined Cycle (H-Frame),2040.5,1533311.52,149753,-1.0,0.976,20.0,43680.0,2078.884,147675.0,0.64,0.64,6,6,0.0,0.0,Naturalgas,False,0.06,0.04,Naturalgas,1
OH1_naturalgas_combustion_turbine_fframe_moderate_0,13,1,1,0.0,OH1,NaturalGas_Combustion Turbine (F-Frame)_Moderate,0,100.0,0.0,9.72,25124,7.44,0.3,0.0,0.0,0.0,0.0,0.0,0.0,3.5,east_north_central_naturalgas,0.0,Moderate,Combustion Turbine (F-Frame),2040.5,1132096.797,109084,-1.0,0.958,20.0,43680.0,2078.884,107006.0,3.78,3.78,1,1,0.0,0.0,Naturalgas,False,0.06,0.04,Naturalgas,1
OH1_nuclear_nuclear__large_conservative_0,13,1,1,0.0,OH1,Nuclear_Nuclear - Large_Conservative,0,1000.0,0.0,10.5,218662,3.64,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,east_north_central_uranium,419.0,Conservative,Nuclear - Large,2040.5,6984617.055,439286,-1.0,0.978,50.0,109200.0,5197.21,434089.0,0.25,0.25,24,24,0.041666667,0.083333333,Uranium,True,0.06,0.04,Nuclear,1
OH2_naturalgas_1on1_combined_cycle_hframe_moderate_0,14,1,1,0.0,OH2,NaturalGas_1-on-1 Combined Cycle (H-Frame)_Moderate,0,500.0,0.0,6.02,37193,2.43,0.3,0.0,0.0,0.0,0.0,0.0,0.0,2.0,east_north_central_naturalgas,0.0,Moderate,1-on-1 Combined Cycle (H-Frame),2040.5,1533311.52,149771,-1.0,0.976,20.0,44060.0,2096.97,147675.0,0.64,0.64,6,6,0.0,0.0,Naturalgas,False,0.06,0.04,Naturalgas,1
OH2_naturalgas_combustion_turbine_fframe_moderate_0,14,1,1,0.0,OH2,NaturalGas_Combustion Turbine (F-Frame)_Moderate,0,100.0,0.0,9.72,25124,7.44,0.3,0.0,0.0,0.0,0.0,0.0,0.0,3.5,east_north_central_naturalgas,0.0,Moderate,Combustion Turbine (F-Frame),2040.5,1132096.797,109102,-1.0,0.958,20.0,44060.0,2096.97,107006.0,3.78,3.78,1,1,0.0,0.0,Naturalgas,False,0.06,0.04,Naturalgas,1
OH2_nuclear_nuclear__large_conservative_0,14,1,1,0.0,OH2,Nuclear_Nuclear - Large_Conservative,0,1000.0,0.0,10.5,218662,3.64,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,east_north_central_uranium,419.0,Conservative,Nuclear - Large,2040.5,6984617.055,439331,-1.0,0.978,50.0,110150.0,5242.424,434089.0,0.25,0.25,24,24,0.041666667,0.083333333,Uranium,True,0.06,0.04,Nuclear,1
