Resource,Zone,New_Build,Can_Retire,Existing_Cap_MW,region,technology,cluster,Cap_Size,minimum_load_mw,Heat_Rate_MMBTU_per_MWh,Fixed_OM_Cost_per_MWyr,num_units,heat_rate_mmbtu_mwh_std,capacity_factor,unmodified_cap_size,Num_VRE_Bins,cost_case,tech_detail,basis_year,capex_mw,Inv_Cost_per_MWyr,Max_Cap_MW,regional_cost_multiplier,area,lcoe,interconnect_annuity,interconnect_capex_mw,m_popden,plant_inv_cost_mwyr,variable_CF,gen_energy_source,gen_forced_outage_rate,gen_type
VA3_distributed_generation_1,24,0,0,46.0,VA3,distributed_generation,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2110874266144813,Solar,0.0,Solar
VA4_distributed_generation_1,25,0,0,1.0,VA4,distributed_generation,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.181887915851272,Solar,0.0,Solar
WV1_distributed_generation_1,26,0,0,82.0,WV1,distributed_generation,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2063985812133072,Solar,0.0,Solar
WV2_distributed_generation_1,27,0,0,16.0,WV2,distributed_generation,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.193991992824527,Solar,0.0,Solar
DE1_landbasedwind_class3_moderate_0,1,1,1,0.0,DE1,LandbasedWind_Class3_Moderate_,0,1.0,0.0,0.0,30722,0.0,0.0,0.0,0.0,1,Moderate,Class3,2033.0,1618100.11,180644,99.3,1.266,455.5,36.83,12926.859,212238.824,5.005,167718.0,0.43826624751091,Wind,0.05,Wind
DE1_landbasedwind_class3_moderate_1,1,1,1,0.0,DE1,LandbasedWind_Class3_Moderate_,1,1.0,0.0,0.0,30722,0.0,0.0,0.0,0.0,1,Moderate,Class3,2033.0,1618100.11,183757,90.8,1.266,265.0,38.253,16039.842,263349.125,3.109,167718.0,0.430258184671402,Wind,0.05,Wind
DE1_utilitypv_class1_moderate_0,1,1,1,0.0,DE1,UtilityPV_Class1_Moderate_,0,1.0,0.0,0.0,17371,0.0,0.0,0.0,0.0,1,Moderate,Class1,2033.0,972705.143,86982,8050.1,1.038,1958.775,32.104,9073.407,148971.152,8.769,77909.0,0.2200269401073455,Solar,0.0,Solar
DE1_utilitypv_class1_moderate_1,1,1,1,0.0,DE1,UtilityPV_Class1_Moderate_,1,1.0,0.0,0.0,17371,0.0,0.0,0.0,0.0,1,Moderate,Class1,2033.0,972705.143,93095,8038.8,1.038,2088.447,34.062,15186.955,249346.066,9.352,77909.0,0.2251444607973098,Solar,0.0,Solar
DE1_offshorewind_class3_conservative_fixed_1_1,1,1,1,0.0,DE1,OffShoreWind_Class3_Conservative_fixed_1,1,1.0,0.0,0.0,91512,0.0,0.0,0.0,0.0,1,Conservative,Class3,2033.0,4348288.675,431897,9500.9,1.0,0.0,80.625,78476.115,1271810.541,0.0,353421.0,0.500217080116272,Wind,0.05,Wind
DE1_offshorewind_class3_conservative_fixed_0_1,1,1,1,0.0,DE1,OffShoreWind_Class3_Conservative_fixed_0,1,1.0,0.0,0.0,91512,0.0,0.0,0.0,0.0,1,Conservative,Class3,2033.0,4348288.675,431897,9500.9,1.0,0.0,80.625,78476.115,1271810.541,0.0,353421.0,0.500217080116272,Wind,0.05,Wind
IL1_landbasedwind_class3_moderate_0,2,1,1,0.0,IL1,LandbasedWind_Class3_Moderate_,0,1.0,0.0,0.0,30722,0.0,0.0,0.0,0.0,1,Moderate,Class3,2033.0,1618100.11,179669,1169.7,1.265,2729.25,29.36,12152.116,199518.752,2.4,167517.0,0.4653814733028412,Wind,0.05,Wind
