Resource,Zone,New_Build,Can_Retire,Existing_Cap_MW,region,technology,cluster,Cap_Size,minimum_load_mw,Heat_Rate_MMBTU_per_MWh,Fixed_OM_Cost_per_MWyr,num_units,heat_rate_mmbtu_mwh_std,capacity_factor,unmodified_cap_size,Num_VRE_Bins,cost_case,tech_detail,basis_year,capex_mw,Inv_Cost_per_MWyr,Max_Cap_MW,regional_cost_multiplier,area,lcoe,interconnect_annuity,interconnect_capex_mw,m_popden,plant_inv_cost_mwyr,variable_CF,gen_energy_source,gen_forced_outage_rate,gen_type
MISC_distributed_generation_1,9,0,0,1910.0,MISC,distributed_generation,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2153781474233529,Solar,0.0,Solar
NJ1_distributed_generation_1,10,0,0,3599.0,NJ1,distributed_generation,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2013327951728636,Solar,0.0,Solar
NY1_distributed_generation_1,11,0,0,3101.0,NY1,distributed_generation,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2155444227005871,Solar,0.0,Solar
NY2_distributed_generation_1,12,0,0,1262.0,NY2,distributed_generation,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1912361872146118,Solar,0.0,Solar
OH1_distributed_generation_1,13,0,0,1020.0,OH1,distributed_generation,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2054725375081539,Solar,0.0,Solar
OH2_distributed_generation_1,14,0,0,644.0,OH2,distributed_generation,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2248567514677103,Solar,0.0,Solar
OH3_distributed_generation_1,15,0,0,309.0,OH3,distributed_generation,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2050229615133724,Solar,0.0,Solar
OH4_distributed_generation_1,16,0,0,436.0,OH4,distributed_generation,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2106440313111546,Solar,0.0,Solar
PA1_distributed_generation_1,17,0,0,564.0,PA1,distributed_generation,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2014165362035225,Solar,0.0,Solar
PA2_distributed_generation_1,18,0,0,32.0,PA2,distributed_generation,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1904511904761905,Solar,0.0,Solar
PA3_distributed_generation_1,19,0,0,38.0,PA3,distributed_generation,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1733534735812133,Solar,0.0,Solar
PA4_distributed_generation_1,20,0,0,1530.0,PA4,distributed_generation,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2119421395955642,Solar,0.0,Solar
SERC_distributed_generation_1,21,0,0,5855.0,SERC,distributed_generation,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2044398075668623,Solar,0.0,Solar
VA1_distributed_generation_1,22,0,0,53.0,VA1,distributed_generation,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2018484833659491,Solar,0.0,Solar
VA2_distributed_generation_1,23,0,0,1070.0,VA2,distributed_generation,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2095448303979126,Solar,0.0,Solar
VA3_distributed_generation_1,24,0,0,54.0,VA3,distributed_generation,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2110874266144813,Solar,0.0,Solar
VA4_distributed_generation_1,25,0,0,2.0,VA4,distributed_generation,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.181887915851272,Solar,0.0,Solar
WV1_distributed_generation_1,26,0,0,255.0,WV1,distributed_generation,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2063985812133072,Solar,0.0,Solar
WV2_distributed_generation_1,27,0,0,24.0,WV2,distributed_generation,1,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,1,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.193991976516634,Solar,0.0,Solar
DE1_landbasedwind_class3_moderate_0,1,1,1,0.0,DE1,LandbasedWind_Class3_Moderate_,0,1.0,0.0,0.0,29110,0.0,0.0,0.0,0.0,1,Moderate,Class3,2040.5,1230626.612,141893.0,99.3,1.266,455.5,36.83,12926.859,212238.824,5.005,128967.0,0.43826624751091,Wind,0.05,Wind
DE1_landbasedwind_class3_moderate_1,1,1,1,0.0,DE1,LandbasedWind_Class3_Moderate_,1,1.0,0.0,0.0,29110,0.0,0.0,0.0,0.0,1,Moderate,Class3,2040.5,1230626.612,145006.0,90.8,1.266,265.0,38.253,16039.842,263349.125,3.109,128967.0,0.430258184671402,Wind,0.05,Wind
DE1_utilitypv_class1_moderate_0,1,1,1,0.0,DE1,UtilityPV_Class1_Moderate_,0,1.0,0.0,0.0,15207,0.0,0.0,0.0,0.0,1,Moderate,Class1,2040.5,765155.689,53792.25,8050.1,1.038,1958.775,32.104,9073.407,148971.152,8.769,62650.0,0.2200269401073455,Solar,0.0,Solar
DE1_utilitypv_class1_moderate_1,1,1,1,0.0,DE1,UtilityPV_Class1_Moderate_,1,1.0,0.0,0.0,15207,0.0,0.0,0.0,0.0,1,Moderate,Class1,2040.5,765155.689,58377.0,8038.8,1.038,2088.447,34.062,15186.955,249346.066,9.352,62650.0,0.2251444607973098,Solar,0.0,Solar
DE1_offshorewind_class3_conservative_fixed_1_1,1,1,1,0.0,DE1,OffShoreWind_Class3_Conservative_fixed_1,1,1.0,0.0,0.0,88699,0.0,0.0,0.0,0.0,1,Conservative,Class3,2040.5,3299928.262,346687.0,9500.9,1.0,0.0,80.625,78476.115,1271810.541,0.0,268211.0,0.500217080116272,Wind,0.05,Wind
