Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Demand_MW_z1,Demand_MW_z2,Demand_MW_z3,Demand_MW_z4,Demand_MW_z5,Demand_MW_z6,Demand_MW_z7,Demand_MW_z8,Demand_MW_z9,Demand_MW_z10,Demand_MW_z11,Demand_MW_z12,Demand_MW_z13,Demand_MW_z14,Demand_MW_z15,Demand_MW_z16,Demand_MW_z17,Demand_MW_z18,Demand_MW_z19,Demand_MW_z20,Demand_MW_z21,Demand_MW_z22,Demand_MW_z23,Demand_MW_z24,Demand_MW_z25,Demand_MW_z26,Demand_MW_z27
,,,,,,,,29,1278.0,11097.9,12414.6,5589.900000000001,558.0,774.0,7889.400000000001,11537.1,36909.9,8942.4,13252.5,2214.0,5641.2,6874.2,1520.1000000000001,2553.3,3717.0,414.90000000000003,250.20000000000002,12139.2,61345.8,2315.7000000000003,11988.9,354.6,76.5,2250.0,1568.7
,,,,,,,,30,1384.2,11715.300000000001,13428.0,5906.7,588.6,819.0,8362.800000000001,12703.5,38619.0,9659.7,14751.0,2464.2000000000003,6024.6,7339.5,1623.6000000000001,2727.0,3996.9,445.5,269.1,13051.800000000001,64281.6,2455.2000000000003,12708.9,376.2,81.0,2373.3,1654.2
,,,,,,,,31,1524.6000000000001,12290.4,15731.1,6264.900000000001,624.6,882.0,9011.7,13680.9,40840.200000000004,10653.300000000001,16865.100000000002,2817.9,6423.3,7822.8,1731.6000000000001,2907.9,4217.400000000001,470.7,283.5,13773.6,71763.3,2603.7000000000003,13474.800000000001,399.6,86.4,2467.8,1720.8
,,,,,,,,32,1737.9,13302.0,18792.0,6754.5,673.2,976.5,9945.9,14929.2,44372.700000000004,12103.2,18995.4,3173.4,6881.400000000001,8378.1,1854.9,3114.0,4534.2,505.8,305.1,14808.6,80737.2,2866.5,14838.300000000001,439.2,94.5,2601.9,1813.5
,,,,,,,,33,1926.0,14106.6,21014.100000000002,7263.900000000001,723.6,1075.5,10899.9,16113.6,47536.200000000004,13254.300000000001,20754.9,3467.7000000000003,7373.7,8976.6,1987.2,3337.2000000000003,4865.400000000001,542.7,327.6,15890.4,89933.40000000001,3174.3,16434.9,486.90000000000003,104.4,2777.4,1935.9
,,,,,,,,34,1957.5,14835.6,21287.7,7527.6,749.7,1096.2,11123.1,16191.0,49880.700000000004,13394.7,21042.0,3515.4,7418.7,9032.4,1998.9,3357.0,4886.1,545.4,329.40000000000003,15957.9,93641.40000000001,3271.5,16934.4,500.40000000000003,108.0,2814.3,1962.0
,,,,,,,,35,1935.9,14865.300000000001,20817.0,7493.400000000001,746.1,1080.9,11004.300000000001,15553.800000000001,49800.6,13155.300000000001,20438.100000000002,3414.6,7184.7,8749.800000000001,1935.9,3251.7000000000003,4786.2,533.7,322.2,15629.4,93620.7,3264.3,16899.3,499.5,108.0,2765.7000000000003,1928.7
,,,,,,,,36,1913.4,14678.1,20331.0,7523.1,749.7,1071.0,10918.800000000001,15046.2,49059.9,12963.6,19872.0,3320.1,7051.5,8588.7,1899.9,3191.4,4707.0,524.7,316.8,15373.800000000001,93610.8,3255.3,16849.8,498.6,107.10000000000001,2735.1,1907.1000000000001
,,,,,,,,37,1927.8,14571.0,20220.3,7610.400000000001,758.7,1075.5,10966.5,14805.0,48689.1,12920.4,19797.3,3307.5,7023.6,8554.5,1892.7,3178.8,4694.400000000001,523.8000000000001,316.8,15331.5,94790.7,3317.4,17174.7,508.5,109.8,2736.9,1908.0
,,,,,,,,38,1945.8,14543.1,20467.8,7725.6,770.4,1097.1000000000001,11187.9,14835.6,48922.200000000004,13025.7,19895.4,3323.7000000000003,7092.0,8639.1,1911.6000000000001,3210.3,4718.7,526.5,317.7,15409.800000000001,97395.3,3374.1,17468.100000000002,516.6,111.60000000000001,2746.8,1914.3
,,,,,,,,39,1941.3,14562.9,20398.5,7806.6,777.6,1100.7,11216.7,14634.9,49208.4,12995.1,19790.100000000002,3305.7000000000003,7048.8,8585.1,1899.0,3190.5,4701.6,524.7,316.8,15354.0,99331.2,3433.5,17774.100000000002,526.5,113.4,2737.8,1908.0
,,,,,,,,40,1968.3,14451.300000000001,20882.7,7973.1,793.8000000000001,1129.5,11493.0,14858.1,49233.6,13253.4,20322.9,3395.7000000000003,7199.1,8768.7,1939.5,3258.0,4762.8,531.9,320.40000000000003,15554.7,102762.90000000001,3525.3,18248.4,540.0,116.10000000000001,2767.5,1929.6000000000001
,,,,,,,,41,1989.0,14523.300000000001,21625.2,8082.900000000001,804.6,1152.0,11691.9,15367.5,50091.3,13424.4,20899.8,3492.0,7390.8,8999.1,1990.8,3344.4,4824.900000000001,539.1,324.90000000000003,15757.2,106498.8,3581.1,18540.0,549.0,117.9,2802.6,1953.9
,,,,,,,,42,2076.3,14625.9,22769.100000000002,8026.2,800.1,1189.8,12046.5,16113.6,51235.200000000004,13989.6,21531.600000000002,3597.3,7696.8,9369.0,2074.5,3483.0,4984.2,556.2,335.7,16278.300000000001,107523.0,3645.0,18873.9,558.0,120.60000000000001,2862.0,1995.3
,,,,,,,,43,2208.6,15299.1,23665.5,8259.300000000001,822.6,1264.5,12761.1,17025.3,53295.3,14860.800000000001,22401.0,3743.1,8203.5,9985.5,2211.3,3713.4,5311.8,593.1,358.2,17347.5,111045.6,3831.3,19830.600000000002,587.7,126.0,3024.0,2107.8
,,,,,,,,44,2133.0,16094.7,23898.600000000002,8324.1,829.8000000000001,1235.7,12444.300000000001,17568.0,55265.4,14416.2,23064.3,3852.9,8270.1,10063.800000000001,2228.4,3743.1,5202.0,580.5,351.0,16988.4,111352.5,3723.3,19278.0,570.6,123.3,3005.1,2094.3
